config,comunidad,nombre_comunidad,hardware,modo,metodo,zonas,tiempo,eficiencia,archivo
CPU-Preciso-Grid,34060000000,cantabria,CPU,Preciso,Grid,3907,8.0,488.375,CPU-Preciso-Grid_34060000000_cantabria.geojson
CPU-Preciso-Grid,34170000000,la_rioja,CPU,Preciso,Grid,4728,10.0,472.8,CPU-Preciso-Grid_34170000000_la_rioja.geojson
CPU-Preciso-Grid,34180000000,ciudad_autonoma_de_ceuta,CPU,Preciso,Grid,18,4.0,4.5,CPU-Preciso-Grid_34180000000_ciudad_autonoma_de_ceuta.geojson
CPU-Preciso-Grid,34190000000,ciudad_autonoma_de_melilla,CPU,Preciso,Grid,24,4.0,6.0,CPU-Preciso-Grid_34190000000_ciudad_autonoma_de_melilla.geojson
CPU-Preciso-Voronoi,34060000000,cantabria,CPU,Preciso,Voronoi,3998,9.0,444.22222222222223,CPU-Preciso-Voronoi_34060000000_cantabria.geojson
CPU-Preciso-Voronoi,34170000000,la_rioja,CPU,Preciso,Voronoi,4904,10.0,490.4,CPU-Preciso-Voronoi_34170000000_la_rioja.geojson
CPU-Preciso-Voronoi,34180000000,ciudad_autonoma_de_ceuta,CPU,Preciso,Voronoi,17,4.0,4.25,CPU-Preciso-Voronoi_34180000000_ciudad_autonoma_de_ceuta.geojson
CPU-Preciso-Voronoi,34190000000,ciudad_autonoma_de_melilla,CPU,Preciso,Voronoi,21,3.0,7.0,CPU-Preciso-Voronoi_34190000000_ciudad_autonoma_de_melilla.geojson
CPU-Rapido-Grid,34060000000,cantabria,CPU,Rápido,Grid,3907,8.0,488.375,CPU-Rapido-Grid_34060000000_cantabria.geojson
CPU-Rapido-Grid,34170000000,la_rioja,CPU,Rápido,Grid,4728,8.0,591.0,CPU-Rapido-Grid_34170000000_la_rioja.geojson
CPU-Rapido-Grid,34180000000,ciudad_autonoma_de_ceuta,CPU,Rápido,Grid,18,4.0,4.5,CPU-Rapido-Grid_34180000000_ciudad_autonoma_de_ceuta.geojson
CPU-Rapido-Grid,34190000000,ciudad_autonoma_de_melilla,CPU,Rápido,Grid,24,3.0,8.0,CPU-Rapido-Grid_34190000000_ciudad_autonoma_de_melilla.geojson
CPU-Rapido-Voronoi,34060000000,cantabria,CPU,Rápido,Voronoi,4007,9.0,445.22222222222223,CPU-Rapido-Voronoi_34060000000_cantabria.geojson
CPU-Rapido-Voronoi,34170000000,la_rioja,CPU,Rápido,Voronoi,4880,10.0,488.0,CPU-Rapido-Voronoi_34170000000_la_rioja.geojson
CPU-Rapido-Voronoi,34180000000,ciudad_autonoma_de_ceuta,CPU,Rápido,Voronoi,18,3.0,6.0,CPU-Rapido-Voronoi_34180000000_ciudad_autonoma_de_ceuta.geojson
CPU-Rapido-Voronoi,34190000000,ciudad_autonoma_de_melilla,CPU,Rápido,Voronoi,20,3.0,6.666666666666667,CPU-Rapido-Voronoi_34190000000_ciudad_autonoma_de_melilla.geojson
GPU-Preciso-Grid,34060000000,cantabria,GPU,Preciso,Grid,3907,10.0,390.7,GPU-Preciso-Grid_34060000000_cantabria.geojson
GPU-Preciso-Grid,34170000000,la_rioja,GPU,Preciso,Grid,4728,9.0,525.3333333333334,GPU-Preciso-Grid_34170000000_la_rioja.geojson
GPU-Preciso-Grid,34180000000,ciudad_autonoma_de_ceuta,GPU,Preciso,Grid,18,3.0,6.0,GPU-Preciso-Grid_34180000000_ciudad_autonoma_de_ceuta.geojson
